id,full name,individual/group,species,gender,ethnicity,relation to protagonist,relation to protagonist 2 (optional),age,life stage,certainty,notes
terence,Terence Higgs,individual,human,male,not mentioned,adversary,,,adolescent,high,student at Hogwarts
terry11,Terry Boot,individual,human,male,not mentioned,other,,11.0,,medium,"on 1 September 1991, first-year student in 1991-1992 (born between 1 September 1979 and 21 April 1980)"
theodore11,Theodore Nott,individual,human,male,not mentioned,other,,11.0,,medium,"on 1 September 1991, first-year student in 1991-1992 (born between 1 September 1979 and 21 April 1980)"
tom,Tom,individual,human,male,,other,,,oldadult,medium,"described as ""old barman"""
traindriver,,individual,human,male,not mentioned,none,,,adult,high,profession
trainguard,,individual,human,male,not mentioned,other,,,adult,high,profession
trainguard2,,individual,human,male,not mentioned,none,,,oldadult,medium,"""wizened old guard"", but not too old to have profession"
troll,,individual,supernatural,not mentioned,,adversary,,,adult,high,"""full-grown mountain troll"""
trolleylady,,individual,human,female,not mentioned,other,,,adult,high,profession
vernon,Vernon Dursley,individual,human,male,not mentioned,family,adversary,,ageless,high,in his life (aged -30s)
vernon20s,Vernon Dursley,individual,human,male,not mentioned,family,adversary,,twenties,medium,"on 1 November 1981, parent of 1-year-old; married to Petunia20s"
vernon30s,Vernon Dursley,individual,human,male,not mentioned,family,adversary,,thirties,medium,"in summer of 1991, parent of 11-year-old, married to Petunia30s"
vernonearly,Vernon Dursley,individual,human,male,not mentioned,family,adversary,,earlyadult,medium,"1980-1991, while Dudley is a child"
voldemort,Tom Riddle,individual,human,male,not mentioned,adversary,,,ageless,high,"refered to as ""person"""
voldemort40s,Tom Riddle,individual,human,male,not mentioned,adversary,,,forties,high,"""about twenty years ago"" in 1991 (aged 44)"
voldemort54,Tom Riddle,individual,human,male,not mentioned,adversary,,54.0,,high,"on 31 October 1981, when he killed Lily and James (born late December 1926)"
voldemort60s,Tom Riddle,individual,human,male,not mentioned,adversary,,,sixties,medium,when he met Quirrell a few years before 1991 (born end December 1926)
voldemort64,Tom Riddle,individual,human,male,not mentioned,adversary,,64.0,,high,in 1991 (born late December 1926)
voldemort65,Tom Riddle,individual,other,male,white,adversary,,65.0,,high,in 1992 (born end December 1926)
voldemortadolescent,Tom Riddle,individual,human,male,not mentioned,adversary,,,adolescent,high,as a student at Hogwarts
voldemortadult,Tom Riddle,individual,human,male,not mentioned,adversary,,,adult,medium,when he turned fully to the dark side; in his life since Hogwarts (aged 18-54)
voldemortmiddle,Tom Riddle,individual,human,male,not mentioned,adversary,,,middleadult,high,"""for eleven years"" (aged 43-54)"
voldemortold,Tom Riddle,individual,human,male,not mentioned,adversary,,,oldadult,medium,"in the years around 1991 (""some say he's still out there"")"
witch1,,individual,human,female,not mentioned,none,,,oldadult,medium,"described as ""old woman"""
witch2,,individual,human,female,not mentioned,none,,,oldadult,medium,"""a few old women"""
witch3,,individual,human,female,not mentioned,none,,,oldadult,medium,"""a few old women"""
witch4,,individual,human,female,not mentioned,none,,,adult,medium,"""woman"", doing her shopping and complaining about the high price of dragon liver"
witch5,,individual,human,female,not mentioned,none,,,adult,medium,"profession, assistent of Madam Malkin (not neccesarily a job that can only be done by adults)"
wizard1,,individual,human,male,not mentioned,none,,,adult,high,older than Vernon
wizard2,,individual,human,male,not mentioned,none,,,oldadult,medium,"described as ""tiny, old man"""
wizard3,,individual,human,male,not mentioned,none,,,adult,high,"""man"", wizard who recognizes Harry"
wizard4,,individual,human,male,not mentioned,none,,,adult,high,"""man"", wizard who recognizes Harry"
wizardchild,,group,human,other,other,none,,,child,high,"""child"""
yvonne,Yvonne,individual,human,female,not mentioned,none,,,adult,high,friend of Petunia
